Date,Open,High,Low,Close,Adj Close,Volume
1998-11-23,3.550000,3.550000,2.710000,3.400000,2.257743,21000
1998-11-30,3.250000,3.490000,3.100000,3.390000,2.251103,504000
1998-12-07,3.380000,3.440000,3.120000,3.160000,2.098374,147000
1998-12-14,3.260000,3.260000,2.990000,3.000000,1.992127,156500
1998-12-21,3.150000,3.160000,2.920000,3.000000,1.992127,106500
1998-12-28,3.000000,3.540000,3.000000,3.270000,2.171418,468000
1999-01-04,3.400000,3.560000,3.150000,3.410000,2.264385,465000
1999-01-11,3.600000,3.650000,3.130000,3.190000,2.118295,285500
1999-01-18,3.190000,3.380000,2.940000,3.260000,2.164778,31500
1999-01-25,3.250000,3.280000,3.020000,3.030000,2.012048,66000
1999-02-01,3.100000,3.250000,3.020000,3.100000,2.058531,160000
1999-02-08,3.100000,3.200000,3.000000,3.000000,1.992127,141000
1999-02-15,3.000000,3.110000,2.900000,3.000000,1.992127,113000
1999-02-22,3.100000,3.100000,2.800000,2.880000,1.912442,63000
1999-03-01,2.850000,3.540000,2.800000,3.270000,2.171418,707500
1999-03-08,3.690000,3.690000,2.800000,2.890000,1.919082,481000
1999-03-15,3.020000,3.020000,2.770000,2.790000,1.852678,196000
1999-03-22,2.900000,2.900000,2.600000,2.620000,1.739791,211000
1999-03-29,2.620000,2.860000,2.600000,2.790000,1.852678,35000
1999-04-05,2.790000,2.800000,2.600000,2.620000,1.739791,53000
1999-04-12,2.610000,2.700000,2.540000,2.590000,1.719869,30500
1999-04-19,2.600000,2.760000,2.520000,2.600000,1.726510,78500
1999-04-26,2.500000,2.600000,2.460000,2.590000,1.719869,28500
1999-05-03,2.600000,2.750000,2.500000,2.750000,1.826116,200000
1999-05-10,2.700000,2.900000,2.650000,2.700000,1.792915,132500
1999-05-17,2.710000,3.250000,2.710000,2.900000,1.925722,142000
1999-05-24,2.900000,2.980000,2.600000,2.650000,1.759712,116500
1999-05-31,2.780000,3.100000,2.780000,2.910000,1.932363,349000
1999-06-07,3.500000,3.520000,2.980000,3.000000,1.992127,380500
1999-06-14,2.980000,3.000000,2.800000,2.950000,1.958925,66500
1999-06-21,2.860000,3.600000,2.820000,3.180000,2.271024,339500
1999-06-28,3.180000,3.190000,2.910000,3.100000,2.213892,41000
1999-07-05,3.150000,3.250000,3.050000,3.150000,2.249600,178500
1999-07-12,3.270000,3.600000,3.160000,3.280000,2.342440,288000
1999-07-19,3.600000,4.090000,3.400000,3.670000,2.620962,707500
