Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,61.5,76.0,58.0,71.0,71.0,60307
2002-07-08,70.0,89.0,70.0,70.5,70.5,54580
2002-07-15,72.0,72.0,53.5,55.0,55.0,15994
2002-07-22,52.5,55.0,43.5,45.5,45.5,12019
2002-07-29,41.0,49.0,36.0,40.0,40.0,8869
2002-08-05,39.0,47.5,38.0,38.0,38.0,5086
2002-08-12,41.0,42.0,35.5,35.5,35.5,4651
2002-08-19,35.5,37.0,32.0,33.5,33.5,3832
2002-08-26,35.0,37.0,28.0,30.5,30.5,3394
2002-09-02,31.0,36.0,29.5,30.5,30.5,3509
2002-09-09,28.0,31.0,27.5,31.0,31.0,2492
2002-09-16,30.0,30.5,25.0,28.5,28.5,2684
2002-09-23,26.5,29.5,25.0,29.0,29.0,1660
2002-09-30,30.0,31.5,25.0,29.5,29.5,3046
2002-10-07,31.0,36.0,27.0,30.5,30.5,2224
2002-10-14,30.0,30.0,25.0,29.5,29.5,805
2002-10-21,30.0,30.0,25.0,27.5,27.5,481
2002-10-28,26.0,30.5,23.5,26.5,26.5,1030
2002-11-04,25.5,30.5,25.0,27.5,27.5,928
2002-11-11,27.0,35.0,25.0,28.0,28.0,4333
2002-11-18,33.5,33.5,25.0,28.0,28.0,4144
2002-11-25,32.5,34.5,24.5,34.0,34.0,12130
2002-12-02,29.0,41.0,29.0,36.5,36.5,5708
2002-12-09,35.5,37.0,30.5,33.0,33.0,6775
2002-12-16,33.0,33.5,29.0,30.5,30.5,2589
2002-12-23,29.0,35.0,28.0,32.5,32.5,2451
2002-12-30,30.0,37.5,29.5,30.0,30.0,3509
2003-01-06,29.0,32.0,28.5,30.0,30.0,2910
2003-01-13,32.5,32.5,28.5,31.5,31.5,2215
2003-01-20,32.0,32.0,27.5,28.5,28.5,2939
2003-01-27,26.5,29.5,24.0,28.0,28.0,811
2003-02-03,27.5,28.0,26.5,26.5,26.5,782
2003-02-10,25.5,28.5,23.5,26.0,26.0,723
2003-02-17,25.0,28.5,25.0,27.5,27.5,1324
2003-02-24,26.0,27.5,23.0,25.5,25.5,1010
2003-03-03,23.0,28.0,18.5,22.0,22.0,2875
2003-03-10,19.0,23.0,16.0,16.5,16.5,2015
2003-03-17,17.0,17.5,13.5,15.0,15.0,5989
2003-03-24,15.0,19.5,15.0,19.5,19.5,3571
2003-03-31,19.0,19.5,16.0,18.0,18.0,2191
2003-04-07,20.0,24.0,18.0,20.0,20.0,1861
2003-04-14,20.0,20.0,19.0,19.0,19.0,600
2003-04-21,18.5,20.5,18.0,18.5,18.5,1279
2003-04-28,17.0,20.5,17.0,19.5,19.5,820
2003-05-05,21.0,21.5,19.0,21.0,21.0,1648
2003-05-12,21.5,37.0,20.5,34.0,34.0,10536
2003-05-19,36.5,37.0,28.0,28.5,28.5,6370
2003-05-26,28.0,37.5,27.5,29.5,29.5,10635
2003-06-02,30.0,35.0,27.5,35.0,35.0,17350
2003-06-09,38.0,44.5,30.0,34.5,34.5,32047
2003-06-16,35.0,38.0,34.0,35.0,35.0,20663
2003-06-23,35.0,50.0,35.0,43.5,43.5,47389
2003-06-30,40.0,61.5,37.5,52.0,52.0,80645
2003-07-07,52.5,69.5,50.0,50.5,50.5,87426
2003-07-14,52.0,62.5,48.0,56.0,56.0,58207
2003-07-21,57.5,68.5,52.5,58.5,58.5,55988
2003-07-28,60.0,64.0,54.5,59.0,59.0,36539
2003-08-04,60.0,95.0,60.0,95.0,95.0,171086
2003-08-11,101.5,106.5,85.0,94.0,94.0,133806
2003-08-18,95.0,110.5,75.5,81.0,81.0,103233
2003-08-25,90.0,93.0,75.0,81.5,81.5,33980
2003-09-01,76.0,83.5,61.0,65.5,65.5,25041
2003-09-08,61.5,69.0,52.0,58.0,58.0,25552
2003-09-15,53.5,68.0,51.0,52.0,52.0,15391
2003-09-22,51.5,57.0,45.0,51.5,51.5,11175
2003-09-29,51.5,54.0,50.0,50.0,50.0,5351
2003-10-06,50.5,54.0,48.0,49.0,49.0,9982
