Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,365.3500061035156,369.70001220703125,336.1000061035156,337.8999938964844,303.6602478027344,5491
2016-11-07,325.1000061035156,360.0,325.0,347.95001220703125,312.6919250488281,4583
2016-11-14,347.95001220703125,347.95001220703125,312.5,320.04998779296875,287.6190490722656,6079
2016-11-21,320.1000061035156,344.8999938964844,303.0,340.3999938964844,305.9069519042969,891
2016-11-28,320.45001220703125,339.95001220703125,305.6000061035156,320.0,287.5740966796875,4330
2016-12-05,320.04998779296875,343.5,315.25,321.04998779296875,288.5176696777344,1794
2016-12-12,349.8999938964844,355.0,332.54998779296875,333.0,299.25677490234375,11748
2016-12-19,341.95001220703125,343.0,311.5,315.1499938964844,283.2155456542969,1796
2016-12-26,315.04998779296875,330.0,306.6000061035156,329.45001220703125,296.0665283203125,3301
2017-01-02,339.3999938964844,340.0,311.95001220703125,330.1000061035156,296.6506652832031,4851
2017-01-09,330.3999938964844,349.8500061035156,326.20001220703125,329.29998779296875,295.9317321777344,11147
2017-01-16,329.29998779296875,349.0,329.29998779296875,339.6499938964844,305.2329406738281,786
2017-01-23,331.6499938964844,348.95001220703125,329.45001220703125,335.0,301.05413818359375,23919
2017-01-30,336.75,365.20001220703125,335.0,339.8500061035156,305.4126892089844,37845
2017-02-06,329.8500061035156,347.0,311.20001220703125,332.95001220703125,299.2118835449219,19386
2017-02-13,340.0,340.0,316.0,319.3999938964844,287.03485107421875,9573
2017-02-20,328.75,328.75,316.79998779296875,317.0,284.87811279296875,3156
2017-02-27,316.0,325.0,310.3500061035156,314.1499938964844,282.3168640136719,5828
2017-03-06,310.3999938964844,338.0,309.29998779296875,319.25,286.9000549316406,5472
2017-03-13,319.25,340.0,313.6499938964844,325.6000061035156,292.60662841796875,13235
2017-03-20,324.20001220703125,334.8500061035156,315.0,321.3500061035156,288.78729248046875,25771
2017-03-27,321.0,329.8999938964844,313.20001220703125,317.45001220703125,285.2825012207031,15299
2017-04-03,319.04998779296875,339.95001220703125,318.5,328.45001220703125,295.1678771972656,12978
2017-04-10,338.0,364.0,332.0,362.0,325.3182067871094,19033
2017-04-17,350.04998779296875,363.0,336.20001220703125,337.6000061035156,303.39068603515625,5931
2017-04-24,340.04998779296875,346.0,330.0,343.3999938964844,308.60296630859375,7635
2017-05-01,343.3999938964844,351.5,336.0,342.25,307.5694885253906,21116
2017-05-08,351.0,351.0,332.20001220703125,338.79998779296875,304.46905517578125,16345
2017-05-15,337.45001220703125,345.0,328.0,331.70001220703125,298.0885925292969,14035
2017-05-22,332.1000061035156,342.0,325.0,334.1499938964844,300.2902526855469,8994
2017-05-29,331.04998779296875,345.0,320.0,330.6000061035156,297.1000061035156,9627
2017-06-05,330.0,337.5,323.1000061035156,324.8999938964844,291.9775695800781,5463
2017-06-12,321.04998779296875,345.0,311.0,338.5,304.199462890625,6865
2017-06-19,333.04998779296875,346.0,333.04998779296875,336.04998779296875,301.9977111816406,9642
2017-06-26,336.04998779296875,341.0,326.0,336.29998779296875,302.22235107421875,6770
2017-07-03,323.0,342.70001220703125,323.0,339.54998779296875,305.1430358886719,7510
2017-07-10,336.5,491.8500061035156,331.0,444.29998779296875,399.27862548828125,1561135
2017-07-17,443.8999938964844,458.5,411.8999938964844,418.70001220703125,376.2727355957031,232699
2017-07-24,416.04998779296875,447.0,396.20001220703125,402.3500061035156,361.5794982910156,156410
