Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,295.0,308.8999938964844,252.10000610351562,290.04998779296875,290.04998779296875,1241
2015-05-11,299.75,308.70001220703125,275.0,289.45001220703125,289.45001220703125,27957
2015-05-18,282.0,300.0,256.1000061035156,300.0,300.0,7435
2015-05-25,285.1000061035156,295.0,265.1000061035156,290.70001220703125,290.70001220703125,8026
2015-06-01,283.0,292.0,267.0,270.75,270.75,13847
2015-06-08,273.0,281.0,268.0,279.3999938964844,279.3999938964844,8575
2015-06-15,265.0,274.8500061035156,238.6999969482422,258.1000061035156,258.1000061035156,15495
2015-06-22,260.8999938964844,285.0,256.0,267.95001220703125,267.95001220703125,5246
2015-06-29,263.0,277.0,258.0,267.0,267.0,7165
2015-07-06,267.0,272.8999938964844,250.0,262.8999938964844,262.8999938964844,9904
2015-07-13,260.0,271.25,250.0,254.85000610351562,254.85000610351562,38086
2015-07-20,245.0,255.0,237.10000610351562,242.4499969482422,242.4499969482422,49536
2015-07-27,247.0,254.9499969482422,220.0,222.0500030517578,222.0500030517578,48349
2015-08-03,215.10000610351562,226.0,192.0,196.5,196.5,100451
2015-08-10,182.10000610351562,203.0,178.0500030517578,202.3000030517578,202.3000030517578,95561
2015-08-17,213.0,235.6999969482422,211.0,218.35000610351562,218.35000610351562,38583
2015-08-24,210.10000610351562,221.0,185.10000610351562,189.8000030517578,189.8000030517578,42007
2015-08-31,194.0,205.0,181.0,188.4499969482422,188.4499969482422,20797
2015-09-07,189.89999389648438,199.0,185.10000610351562,197.5,197.5,5350
2015-09-14,197.5,199.5,191.0,193.9499969482422,193.9499969482422,4928
2015-09-21,200.0,200.0,190.75,195.0,195.0,4315
2015-09-28,199.89999389648438,199.89999389648438,188.89999389648438,192.14999389648438,192.14999389648438,6378
2015-10-05,194.0,214.5,190.0,197.39999389648438,197.39999389648438,12015
2015-10-12,203.0,214.85000610351562,197.0,211.3000030517578,211.3000030517578,6203
2015-10-19,222.0,225.0,210.0,220.75,220.75,5022
2015-10-26,216.5,220.0,189.0,208.5500030517578,208.5500030517578,78528
2015-11-02,210.10000610351562,254.5,200.0,226.35000610351562,226.35000610351562,202479
2015-11-09,220.0,231.5,208.1999969482422,217.64999389648438,217.64999389648438,27674
2015-11-16,216.0,226.9499969482422,215.14999389648438,220.4499969482422,220.4499969482422,63499
2015-11-23,220.5,234.0,216.0,220.89999389648438,220.89999389648438,82968
2015-11-30,221.0,245.0,218.0,232.89999389648438,232.89999389648438,68348
2015-12-07,232.0,251.0,218.3000030517578,231.10000610351562,231.10000610351562,126763
2015-12-14,228.10000610351562,248.0,223.0500030517578,231.60000610351562,231.60000610351562,66952
2015-12-21,232.5,239.0,229.0,238.0,238.0,15890
2015-12-28,237.0,260.0,237.0,252.85000610351562,252.85000610351562,42918
2016-01-04,250.0,258.79998779296875,241.0,250.89999389648438,250.89999389648438,30600
2016-01-11,250.0500030517578,258.0,238.0,240.35000610351562,240.35000610351562,31202
2016-01-18,231.0,239.0,215.0,219.89999389648438,219.89999389648438,39743
2016-01-25,215.0,233.0,182.5,225.0,225.0,49936
2016-02-01,226.0,247.9499969482422,220.0,221.6999969482422,221.6999969482422,23082
2016-02-08,221.5500030517578,228.0500030517578,170.10000610351562,201.3000030517578,201.3000030517578,68661
2016-02-15,200.0,211.9499969482422,193.0,200.0500030517578,200.0500030517578,16971
2016-02-22,200.5,228.8000030517578,200.0,210.35000610351562,210.35000610351562,65666
2016-02-29,207.5,237.0,207.5,212.4499969482422,212.4499969482422,4603
2016-03-07,212.4499969482422,284.0,210.0,270.3500061035156,270.3500061035156,132858
2016-03-14,272.20001220703125,294.0,262.1000061035156,268.6499938964844,268.6499938964844,39057
2016-03-21,266.0,274.79998779296875,255.0500030517578,258.1499938964844,258.1499938964844,5607
2016-03-28,264.0,270.0,251.8000030517578,259.95001220703125,259.95001220703125,27225
2016-04-04,263.8500061035156,305.04998779296875,261.8500061035156,291.29998779296875,291.29998779296875,72163
2016-04-11,292.8999938964844,312.0,286.25,295.1499938964844,295.1499938964844,38540
2016-04-18,295.20001220703125,329.0,285.20001220703125,318.25,318.25,27704
2016-04-25,311.5,312.0,293.0,298.8999938964844,298.8999938964844,48925
2016-05-02,310.1000061035156,320.0,267.3999938964844,276.25,276.25,41651
2016-05-09,281.0,285.6000061035156,272.0,278.75,278.75,12443
2016-05-16,276.3999938964844,283.0,270.0,270.20001220703125,270.20001220703125,16835
2016-05-23,271.0,294.0,270.1000061035156,290.0,290.0,13211
2016-05-30,290.0,295.0,270.20001220703125,292.1499938964844,292.1499938964844,10500
2016-06-06,292.1499938964844,295.3999938964844,279.0,285.75,285.75,10140
2016-06-13,287.79998779296875,321.95001220703125,280.0,315.0,315.0,30480
2016-06-20,306.0,353.0,287.75,340.6000061035156,340.6000061035156,67089
2016-06-27,339.0,375.0,337.1000061035156,348.0,348.0,81230
2016-07-04,345.1000061035156,391.0,325.0,391.0,391.0,122399
2016-07-11,391.0,409.0,350.20001220703125,373.70001220703125,373.70001220703125,278725
2016-07-18,370.5,398.3999938964844,343.5,379.0,379.0,96040
2016-07-25,373.1499938964844,398.0,366.0,387.8999938964844,387.8999938964844,76623
2016-08-01,397.95001220703125,397.95001220703125,309.0,373.0,373.0,67588
2016-08-08,376.75,381.79998779296875,362.75,368.79998779296875,368.79998779296875,26544
2016-08-15,368.79998779296875,389.0,355.54998779296875,388.04998779296875,388.04998779296875,52308
2016-08-22,393.8999938964844,396.0,378.0,380.70001220703125,380.70001220703125,25222
2016-08-29,390.0,403.0,379.95001220703125,383.3500061035156,383.3500061035156,38382
2016-09-05,383.3500061035156,404.8500061035156,373.0,394.25,394.25,65323
2016-09-12,394.0,430.0,375.0,417.20001220703125,417.20001220703125,164759
2016-09-19,420.0,445.0,406.29998779296875,439.79998779296875,439.79998779296875,112261
2016-09-26,437.95001220703125,449.0,401.0,426.75,426.75,150211
2016-10-03,433.0,500.0,433.0,482.70001220703125,482.70001220703125,173963
2016-10-10,482.0,500.0,475.1499938964844,492.3500061035156,492.3500061035156,58797
2016-10-17,490.0,510.0,478.95001220703125,500.54998779296875,500.54998779296875,85818
2016-10-24,519.9000244140625,535.5999755859375,462.6000061035156,524.2999877929688,524.2999877929688,132127
2016-10-31,524.2999877929688,540.9500122070312,488.8500061035156,502.79998779296875,502.79998779296875,63223
2016-11-07,508.0,515.9500122070312,425.0,483.04998779296875,483.04998779296875,39451
2016-11-14,483.04998779296875,492.0,435.0,444.29998779296875,444.29998779296875,31047
2016-11-21,441.45001220703125,479.0,390.20001220703125,455.6000061035156,455.6000061035156,83512
2016-11-28,460.0,481.0,455.1000061035156,456.20001220703125,456.20001220703125,52781
2016-12-05,456.20001220703125,493.0,423.3999938964844,485.8500061035156,485.8500061035156,37638
2016-12-12,492.70001220703125,535.0,472.5,516.5499877929688,516.5499877929688,55884
2016-12-19,518.5,536.0,465.0,490.70001220703125,490.70001220703125,27696
2016-12-26,481.6499938964844,515.0,471.0,506.1499938964844,506.1499938964844,18066
2017-01-02,501.0,559.5,501.0,542.4500122070312,542.4500122070312,122485
2017-01-09,544.0,554.7000122070312,535.0,537.7000122070312,537.7000122070312,35780
2017-01-16,532.5999755859375,552.0,530.0,535.6500244140625,535.6500244140625,29052
2017-01-23,533.0999755859375,550.0,508.0,513.7000122070312,513.7000122070312,44946
2017-01-30,515.0,536.7999877929688,507.0,527.75,527.75,38455
2017-02-06,535.0,535.0,491.1499938964844,499.6000061035156,499.6000061035156,26107
2017-02-13,511.0,511.0,462.0,483.20001220703125,483.20001220703125,21321
2017-02-20,487.04998779296875,502.5,472.25,487.5,487.5,11783
2017-02-27,497.8999938964844,497.8999938964844,465.0,470.45001220703125,470.45001220703125,14170
2017-03-06,479.95001220703125,500.8999938964844,470.1000061035156,486.6000061035156,486.6000061035156,9484
2017-03-13,486.6000061035156,500.0,465.04998779296875,471.1499938964844,471.1499938964844,13659
2017-03-20,465.3500061035156,600.0,465.0,545.25,545.25,136923
2017-03-27,540.0,566.0,535.0,554.25,554.25,19532
2017-04-03,548.5,554.9500122070312,518.0999755859375,520.5499877929688,520.5499877929688,21483
2017-04-10,518.0499877929688,525.8499755859375,484.1000061035156,488.75,488.75,41318
2017-04-17,499.0,557.4000244140625,480.1000061035156,527.6500244140625,527.6500244140625,105631
2017-04-24,532.0,535.9500122070312,501.0,511.25,511.25,19631
2017-05-01,511.25,520.0,500.0,509.0,509.0,8838
2017-05-08,523.5,537.9000244140625,483.0,487.8500061035156,487.8500061035156,55238
2017-05-15,507.0,510.79998779296875,474.0,485.54998779296875,485.54998779296875,31455
2017-05-22,488.1000061035156,498.8500061035156,460.5,485.1499938964844,485.1499938964844,20252
2017-05-29,485.0,525.0,464.0,479.45001220703125,479.45001220703125,16978
2017-06-05,483.1499938964844,484.8999938964844,456.0,476.29998779296875,476.29998779296875,22683
2017-06-12,481.0,499.0,475.0,482.8999938964844,482.8999938964844,13183
2017-06-19,485.45001220703125,495.0,468.1499938964844,487.8999938964844,487.8999938964844,16209
2017-06-26,487.8999938964844,495.1499938964844,446.6000061035156,470.04998779296875,470.04998779296875,8864
2017-07-03,470.0,488.0,466.54998779296875,483.29998779296875,483.29998779296875,34537
2017-07-10,473.0,486.0,458.5,460.04998779296875,460.04998779296875,9669
2017-07-17,460.04998779296875,500.0,450.0,459.1499938964844,459.1499938964844,28522
2017-07-24,460.0,477.5,440.0,453.75,453.75,13665
2017-07-31,453.0,462.0,426.5,431.6000061035156,431.6000061035156,19741
2017-08-07,435.0,449.5,392.0,426.3500061035156,426.3500061035156,26862
2017-08-14,426.0,430.0,399.0,419.29998779296875,419.29998779296875,29706
2017-08-21,420.0,431.6499938964844,405.5,414.20001220703125,414.20001220703125,27271
2017-08-28,415.0,423.0,405.0,416.95001220703125,416.95001220703125,20500
2017-09-04,419.0,434.95001220703125,384.5,399.8500061035156,399.8500061035156,66789
2017-09-11,398.0,413.95001220703125,372.0,379.1000061035156,379.1000061035156,37335
2017-09-18,384.20001220703125,447.0,380.0,414.45001220703125,414.45001220703125,38711
2017-09-25,412.5,415.1499938964844,381.1000061035156,386.45001220703125,386.45001220703125,15208
2017-10-02,386.45001220703125,399.0,380.0,383.3500061035156,383.3500061035156,17378
2017-10-09,383.0,415.0,380.6000061035156,408.1499938964844,408.1499938964844,47178
2017-10-16,434.0,479.3999938964844,408.0,434.25,434.25,111289
2017-10-23,428.1499938964844,434.95001220703125,415.04998779296875,427.04998779296875,427.04998779296875,19989
2017-10-30,427.0,440.0,416.25,437.45001220703125,437.45001220703125,18555
2017-11-06,438.0,449.8999938964844,411.1000061035156,416.6000061035156,416.6000061035156,15323
2017-11-13,417.0,455.0,402.1499938964844,409.3500061035156,409.3500061035156,29124
2017-11-20,416.79998779296875,450.0,406.1499938964844,439.54998779296875,439.54998779296875,44932
2017-11-27,440.0,440.0,410.20001220703125,423.8500061035156,423.8500061035156,24492
2017-12-04,421.0,433.8999938964844,406.1000061035156,425.6499938964844,425.6499938964844,32451
2017-12-11,426.0,454.79998779296875,423.0,431.70001220703125,431.70001220703125,44469
2017-12-18,432.0,534.0,411.25,520.1500244140625,520.1500244140625,79386
2017-12-25,520.1500244140625,533.0,490.0,502.20001220703125,502.20001220703125,23233
2018-01-01,510.29998779296875,520.0,456.5,457.8500061035156,457.8500061035156,72966
2018-01-08,464.8999938964844,492.0,451.0,458.1499938964844,458.1499938964844,122957
2018-01-15,468.0,482.0,399.5,411.3500061035156,411.3500061035156,133514
2018-01-22,410.0,428.75,400.20001220703125,412.04998779296875,412.04998779296875,40356
2018-01-29,415.04998779296875,423.79998779296875,390.0,397.8999938964844,397.8999938964844,34827
2018-02-05,388.0,452.0,360.0,425.1499938964844,425.1499938964844,59908
2018-02-12,420.0,463.5,402.25,408.04998779296875,408.04998779296875,24404
2018-02-19,400.5,428.0,390.45001220703125,414.6499938964844,414.6499938964844,22247
2018-02-26,415.79998779296875,423.95001220703125,394.29998779296875,399.6499938964844,399.6499938964844,14167
2018-03-05,394.0,405.0,374.6499938964844,380.6499938964844,380.6499938964844,27378
2018-03-12,389.0,400.0,385.0,392.70001220703125,392.70001220703125,24334
2018-03-19,381.04998779296875,398.20001220703125,374.0,380.1499938964844,380.1499938964844,28806
2018-03-26,376.0,387.0,365.8500061035156,374.20001220703125,374.20001220703125,46790
2018-04-02,374.25,417.0,370.0,414.04998779296875,414.04998779296875,35067
2018-04-09,418.70001220703125,437.0,406.20001220703125,431.5,431.5,15779
2018-04-16,428.0,479.5,415.0,464.29998779296875,464.29998779296875,52745
2018-04-23,470.0,496.0,426.0,427.79998779296875,427.79998779296875,100394
2018-04-30,428.0,430.0,395.0,395.8999938964844,395.8999938964844,77335
2018-05-07,396.0,456.95001220703125,391.0,445.8500061035156,445.8500061035156,142037
2018-05-14,441.04998779296875,449.79998779296875,397.0,398.3999938964844,398.3999938964844,40854
